=== Hoogland et al. Replication (self-contained) ===
2L attn-only, d=256, 8 heads, softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 64, n_ctx: 1024, tokens/step: 65,536
Max steps: 76,293 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val.pt
Model parameters: 3,086,848 (compiled)
Induction test: 100 seqs, half_len=512, vocab=5000
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 100/76293  loss=8.3716  tokens=0.007B  elapsed=32s
  step 200/76293  loss=7.1707  tokens=0.013B  elapsed=46s
  step 300/76293  loss=6.7573  tokens=0.020B  elapsed=60s
  step 400/76293  loss=6.3881  tokens=0.026B  elapsed=76s
  step 500/76293  loss=6.2070  tokens=0.033B  elapsed=90s
  step 600/76293  loss=6.2766  tokens=0.039B  elapsed=105s
  step 700/76293  loss=6.0630  tokens=0.046B  elapsed=119s
  step 800/76293  loss=6.0288  tokens=0.052B  elapsed=134s
  step 900/76293  loss=5.9976  tokens=0.059B  elapsed=149s
  step 1000/76293  loss=5.9154  tokens=0.066B  elapsed=163s
  step 1100/76293  loss=5.8419  tokens=0.072B  elapsed=178s
  step 1200/76293  loss=5.9190  tokens=0.079B  elapsed=191s
  step 1300/76293  loss=5.9035  tokens=0.085B  elapsed=204s
  step 1400/76293  loss=5.8019  tokens=0.092B  elapsed=219s
  step 1500/76293  loss=5.8700  tokens=0.098B  elapsed=233s
  step 1600/76293  loss=5.8313  tokens=0.105B  elapsed=247s
  step 1700/76293  loss=5.8468  tokens=0.111B  elapsed=261s
  step 1800/76293  loss=5.7685  tokens=0.118B  elapsed=275s
  step 1900/76293  loss=5.7783  tokens=0.125B  elapsed=291s
  step 2000/76293  loss=5.5688  tokens=0.131B  elapsed=307s
  step 2100/76293  loss=5.8941  tokens=0.138B  elapsed=321s
  step 2200/76293  loss=5.6478  tokens=0.144B  elapsed=336s
  step 2300/76293  loss=5.6862  tokens=0.151B  elapsed=348s
  step 2400/76293  loss=5.6648  tokens=0.157B  elapsed=363s
  step 2500/76293  loss=5.7205  tokens=0.164B  elapsed=378s
/workspace/tensor-mars/.venv/lib/python3.13/site-packages/torch/_inductor/compile_fx.py:321: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(

  [step 2500, 0.16B tokens] induction_score=0.0123 1st=9.6506 2nd=9.6383 toy_acc=0.000215 (0.0215%)
  step 2600/76293  loss=5.5796  tokens=0.170B  elapsed=395s
  step 2700/76293  loss=5.6601  tokens=0.177B  elapsed=411s
  step 2800/76293  loss=5.5781  tokens=0.184B  elapsed=426s
  step 2900/76293  loss=5.6198  tokens=0.190B  elapsed=439s
  step 3000/76293  loss=5.5296  tokens=0.197B  elapsed=454s
  step 3100/76293  loss=5.5243  tokens=0.203B  elapsed=471s
