=== Hoogland Variant: ctx=512, d=512 (wider + shorter) ===
2L attn-only, d=512, 16 heads (d_head=32), softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 96, n_ctx: 512, tokens/step: 49,152
Max steps: 101,725 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val_ctx512.pt
Model parameters: 7,222,272 (compiled)
Induction test: 100 seqs, half_len=256, vocab=5000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 100/101725  loss=8.0199  tokens=0.005B  elapsed=26s
  step 200/101725  loss=6.7684  tokens=0.010B  elapsed=36s
  step 300/101725  loss=6.4333  tokens=0.015B  elapsed=46s
  step 400/101725  loss=6.2541  tokens=0.020B  elapsed=59s
  step 500/101725  loss=6.1854  tokens=0.025B  elapsed=71s
  step 600/101725  loss=5.9923  tokens=0.029B  elapsed=82s
  step 700/101725  loss=5.9987  tokens=0.034B  elapsed=92s
  step 800/101725  loss=6.1151  tokens=0.039B  elapsed=103s
  step 900/101725  loss=5.8974  tokens=0.044B  elapsed=113s
  step 1000/101725  loss=5.9818  tokens=0.049B  elapsed=125s
  step 1100/101725  loss=5.8970  tokens=0.054B  elapsed=137s
  step 1200/101725  loss=5.7657  tokens=0.059B  elapsed=147s
  step 1300/101725  loss=5.6369  tokens=0.064B  elapsed=159s
  step 1400/101725  loss=5.7243  tokens=0.069B  elapsed=168s
  step 1500/101725  loss=5.8294  tokens=0.074B  elapsed=180s
  step 1600/101725  loss=5.6452  tokens=0.079B  elapsed=192s
  step 1700/101725  loss=5.6100  tokens=0.084B  elapsed=201s
  step 1800/101725  loss=5.5350  tokens=0.088B  elapsed=210s
  step 1900/101725  loss=5.5816  tokens=0.093B  elapsed=221s
  step 2000/101725  loss=5.6134  tokens=0.098B  elapsed=232s
